杉杉股份,600884
国投电力,600886
伊利股份,600887
航空动力,600893
张江高科,600895
长江电力,600900
北方创业,600967
中材国际,600970
恒源煤电,600971
武汉健民,600976
航民股份,600987
马应龙  ,600993
招商证券,600999
大同煤业,601001
晋亿实业,601002
重庆钢铁,601005
大秦铁路,601006
南京银行,601009
隆基股份,601012
一拖股份,601038
中国神华,601088
中南传媒,601098
太平洋  ,601099
昊华能源,601101
中国国航,601111
中国化学,601117
海南橡胶,601118
深圳燃气,601139
重庆水务,601158
兴业银行,601166
西部矿业,601168
北京银行,601169
中国铁建,601186
内蒙君正,601216
环旭电子,601231
广汽集团,601238
农业银行,601288
中国北车,601299
骆驼股份,601311
中国平安,601318
交通银行,601328
广深铁路,601333
新华保险,601336
兴业证券,601377
怡球资源,601388
中国中铁,601390
工商银行,601398
大智慧  ,601519
东吴证券,601555
中国铝业,601600
中国太保,601601
上海医药,601607
中信重工,601608
中国中冶,601618
中国人寿,601628
长城汽车,601633
平煤股份,601666
中国建筑,601668
中国水电,601669
华泰证券,601688
潞安环能,601699
郑煤机  ,601717
中国南车,601766
光大证券,601788
宁波建工,601789
中国交建,601800
皖新传媒,601801
中海油服,601808
光大银行,601818
中国石油,601857
中海集运,601866
江河创建,601886
中国国旅,601888
中煤能源,601898
紫金矿业,601899
方正证券,601901
国投新集,601918
凤凰传媒,601928
吉视传媒,601929
永辉超市,601933
建设银行,601939
金钼股份,601958
中国银行,601988
中国重工,601989
大唐发电,601991
金隅股份,601992
丰林集团,601996
中信银行,601998
人民网  ,603000
